Sentence_1,Sentence_2
ನೆಲ್ಸನ್ ಮಂಡೇಲಾ ಅವರನ್ನು ಆಸ್ಪತ್ರೆಗೆ ಕರೆದೊಯ್ಯಲಾಯಿತು,ನೆಲ್ಸನ್ ಮಂಡೇಲಾ ಆಸ್ಪತ್ರೆಯಿಂದ ಬಿಡುಗಡೆ
ಭಾರತದ ಕಟ್ಟಡ ಕುಸಿತದಲ್ಲಿ ಡಜನ್‌ಗಟ್ಟಲೆ ಜನರು ಸಿಲುಕಿರುವ ಆತಂಕವಿದೆ,ಭಾರತದ ಕಟ್ಟಡ ಕುಸಿತದಲ್ಲಿ ಇನ್ನೂ ಸಿಕ್ಕಿಬಿದ್ದ 20 ಮಂದಿಯನ್ನು ಪತ್ತೆ ಹಚ್ಚಲು ರಕ್ಷಕರು ಓಡುತ್ತಿದ್ದಾರೆ
ಆತ್ಮಹತ್ಯಾ ಬಾಂಬ್ ದಾಳಿಯ ನಂತರ ಇಸ್ಲಾಮಿಸ್ಟ್‌ಗಳು ಉತ್ತರ ಮಾಲಿ ನಗರದ ಮೇಲೆ ದಾಳಿ ಮಾಡಿದರು,ಇಸ್ಲಾಮಿಸ್ಟ್ಗಳು ಗಾವೊದಲ್ಲಿ ಮಾಲಿಯನ್ ಪಡೆಗಳ ಮೇಲೆ ದಾಳಿ ಮಾಡುತ್ತಾರೆ
ಡೈಲಿ ಪ್ರೆಸ್ ಬ್ರೀಫಿಂಗ್: ದಕ್ಷಿಣ ಸುಡಾನ್,ಡೈಲಿ ಪ್ರೆಸ್ ಬ್ರೀಫಿಂಗ್: ಸಿರಿಯಾ
ಬ್ರಿಟನ್ ಅಬು ಕತಾದನನ್ನು ಗಡೀಪಾರು ಮಾಡಲು ನಿರ್ಧರಿಸಿತು,ತೀವ್ರಗಾಮಿ ಧರ್ಮಗುರು ಅಬು ಕತಾಡಾ ಅವರನ್ನು ಗಡೀಪಾರು ಮಾಡುವ ಪ್ರಯತ್ನದಲ್ಲಿ ಬ್ರಿಟನ್ ಸೋತಿದೆ
ಐತಿಹಾಸಿಕ ಮತಕ್ಕಾಗಿ ಕಾರ್ಡಿನಲ್‌ಗಳು ವ್ಯಾಟಿಕನ್‌ಗೆ ಪ್ರವೇಶಿಸುತ್ತಾರೆ,ಪೋಪ್ ಅನ್ನು ಆಯ್ಕೆ ಮಾಡಲು ಕಾರ್ಡಿನಲ್ಸ್ ಸಿಸ್ಟೀನ್ ಚಾಪೆಲ್ ಅನ್ನು ಪ್ರವೇಶಿಸುತ್ತಾರೆ
ವೇಶ್ಯಾವಾಟಿಕೆಗೆ ಸಂಬಂಧಿಸಿದ ಕಾನೂನಿನ ಸುಧಾರಣೆಯನ್ನು ಫ್ರೆಂಚ್ ಸಂಸತ್ತು ಬೆಂಬಲಿಸುತ್ತದೆ,ಯುಎಸ್ ದತ್ತುಗಳ ಮೇಲಿನ ನಿಷೇಧವನ್ನು ಪರಿಗಣಿಸಲು ರಷ್ಯಾದ ಸಂಸತ್ತು
ಇಸ್ರೇಲಿ ಮಿಲಿಟರಿ ಉತ್ತರದ ಗಡಿಯ ಮೇಲೆ ಕೇಂದ್ರೀಕರಿಸುತ್ತದೆ,"ಈಜಿಪ್ಟ್‌ನ ಸೇನೆಯು ಮುಸ್ಲಿಂ ಬ್ರದರ್‌ಹುಡ್, ಬೆಂಬಲಿಗರ ಮೇಲೆ ಹಿಡಿತ ಸಾಧಿಸುತ್ತದೆ"
"ಬ್ಯಾಂಕಾಕ್‌ನಲ್ಲಿ ಥಾಯ್ಸ್ ಪ್ರತಿಭಟನೆಯನ್ನು ಮುಂದುವರೆಸುತ್ತಿರುವಾಗ ಹೊಡೆತಗಳು, ಸ್ಫೋಟಗಳು ಕೇಳಿಬಂದವು","ಗುಂಡೇಟುಗಳು, ಸ್ಫೋಟಗಳು ಥಾಯ್ ಪ್ರತಿಭಟನೆಯ ದಿನವನ್ನು ಚುನಾವಣೆಗೆ ಮುಂಚಿತವಾಗಿ ಅಲುಗಾಡಿಸುತ್ತವೆ"
AU ನಾಯಕರು ಆಫ್ರಿಕಾ ದಿನಾಚರಣೆಗಾಗಿ ಭೇಟಿಯಾಗುತ್ತಾರೆ,ಈಜಿಪ್ಟ್ ಯುವ ನಾಯಕ ನಾಲ್ಕು ದಿನಗಳ ಬಂಧನ
ಉತ್ತರ ಕೊರಿಯಾ ಕೇಸಾಂಗ್ ಪ್ರವೇಶವನ್ನು ನಿರ್ಬಂಧಿಸುತ್ತದೆ,ಪರಮಾಣು ಕೇಂದ್ರಗಳನ್ನು ಪುನರಾರಂಭಿಸಲು ಉತ್ತರ ಕೊರಿಯಾ ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದೆ
"ಟೆಕ್ಸಾಸ್‌ನಲ್ಲಿ ವೇಗದ ಚಾಲನೆಗಾಗಿ ಝಿಮ್ಮರ್‌ಮ್ಯಾನ್ ನಿಲ್ಲಿಸಿದರು, ಎಚ್ಚರಿಕೆಯೊಂದಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಿದರು",ಝಿಮ್ಮರ್‌ಮ್ಯಾನ್ ಟೆಕ್ಸಾಸ್‌ನಲ್ಲಿ ವೇಗದ ಚಾಲನೆಗಾಗಿ ಎಚ್ಚರಿಕೆಯನ್ನು ನೀಡಿದರು
US ಸೆನೆಟ್ ಹಣಕಾಸಿನ ಕ್ಲಿಫ್ ಒಪ್ಪಂದವನ್ನು ಅನುಮೋದಿಸುತ್ತದೆ,"""ಫಿಸ್ಕಲ್ ಕ್ಲಿಫ್"" ನಲ್ಲಿ ಒಪ್ಪಂದವನ್ನು ತಲುಪಿದೆ"
ಮಾರಣಾಂತಿಕ ಡಮಾಸ್ಕಸ್ ನರ ಅನಿಲ ದಾಳಿಯ ವರದಿಗಳನ್ನು ಸಿರಿಯಾ ನಿರಾಕರಿಸಿದೆ,ಇರಾನಿನ ಕಂಪ್ಯೂಟರ್ ದಾಳಿಯನ್ನು ಹಿಮ್ಮೆಟ್ಟಿಸಲು ಅಮೆರಿಕದ ಮಿತ್ರರಾಷ್ಟ್ರಗಳು ಸಹಾಯ ಪಡೆಯುತ್ತವೆ
ಆರ್ಥಿಕ ಸಭೆಯ ನಂತರ ಚೀನಾ ಷೇರುಗಳು ಹೆಚ್ಚಿನದನ್ನು ಮುಚ್ಚುತ್ತವೆ,ಚೀನಾ ಷೇರುಗಳು ಬುಧವಾರದಂದು ಹೆಚ್ಚಿನ ಮಟ್ಟದಲ್ಲಿ ಮುಚ್ಚುತ್ತವೆ
ಪೆಸಿಫಿಕ್‌ಗೆ $30 ಬಿಲಿಯನ್ ತೈಲ ಸಂಪರ್ಕವನ್ನು ರಷ್ಯಾ ಅನಾವರಣಗೊಳಿಸಿದೆ,ಪೆಸಿಫಿಕ್‌ಗೆ $25bn ತೈಲ ಸಂಪರ್ಕವನ್ನು ರಷ್ಯಾ ಅನಾವರಣಗೊಳಿಸಿದೆ
"ಪೊಲೀಸರು ಬಂದೂಕುಧಾರಿಯನ್ನು ಕೊಂದರು, ಕೊಲೊದಲ್ಲಿ ಇನ್ನೂ 3 ಮಂದಿ ಸತ್ತರು",ಯುಎಸ್ ಮನೆಯಲ್ಲಿ ಬಂದೂಕುಧಾರಿಯೊಂದಿಗೆ ಪೊಲೀಸ್ ಘರ್ಷಣೆಯ ನಂತರ 4 ಮಂದಿ ಸತ್ತರು
ಡೋಲ್ಸ್ ಮತ್ತು ಗಬ್ಬಾನಾ ತೆರಿಗೆ ವಂಚನೆಗೆ ಶಿಕ್ಷೆಗೊಳಗಾದವರು,ಇಟಾಲಿಯನ್ ತೆರಿಗೆ ಪ್ರಕರಣದಲ್ಲಿ ಡೋಲ್ಸ್ ಮತ್ತು ಗಬ್ಬಾನಾಗೆ ದಂಡ ವಿಧಿಸಲಾಗಿದೆ
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ 7.2 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ,ನೈಋತ್ಯ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ 7.7 ತೀವ್ರತೆಯ ಭೂಕಂಪ
ಸಿರಿಯನ್ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳ ಬಗ್ಗೆ ಯುಕೆ ಎಚ್ಚರಿಕೆ,ವೆಸ್ಟ್ ಸಿರಿಯಾ ರಾಸಾಯನಿಕ ಹಕ್ಕುಗಳ ಮೇಲೆ ಪಾಲನ್ನು ಎತ್ತುತ್ತದೆ
ಶುಕ್ರವಾರದಂದು ಚೀನಾ ಷೇರುಗಳು ಕೆಳಮಟ್ಟಕ್ಕೆ ಮುಚ್ಚಿದವು,ಚೀನಾ ಷೇರುಗಳು ಬುಧವಾರದಂದು ಹೆಚ್ಚಿನ ಮಟ್ಟದಲ್ಲಿ ಮುಚ್ಚುತ್ತವೆ
ಭೂಮಿ ಮತ್ತು ಉಪಗ್ರಹಗಳ ನಡುವೆ ಕ್ಷುದ್ರಗ್ರಹ ಜಿಪ್,ಕ್ಷುದ್ರಗ್ರಹವು ಭೂಮಿಯನ್ನು ಹಾರಾಡುತ್ತಾ ಹಾದುಹೋಗುತ್ತದೆ
ಮಾಲಿ ಟೌನ್‌ಗಾಗಿ ಹೋರಾಟವು ಇಸ್ಲಾಮಿಸ್ಟ್ ತಂತ್ರಗಳನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ,ಉತ್ತರ ಇಸ್ಲಾಮಿ ಉಗ್ರಗಾಮಿಗಳ ವಿರುದ್ಧ ಹೋರಾಡಲು ಮಾಲಿ ಸೈನ್ಯಕ್ಕೆ ತರಬೇತಿ ನೀಡಲು ಯುರೋಪ್
ಈ ಕ್ರಿಸ್‌ಮಸ್‌ನಲ್ಲಿ ಇಬ್ಬರು ಸಾಂಟಾ ಟ್ರ್ಯಾಕರ್‌ಗಳು ಸ್ಪರ್ಧಿಸುತ್ತಿದ್ದಾರೆ,ಸ್ಪೇನ್ ಸಿಯೆಸ್ಟಾಸ್‌ನಲ್ಲಿ ಗಡಿಯಾರವನ್ನು ಹಿಂದಕ್ಕೆ ತಿರುಗಿಸುತ್ತದೆ
ಸಿರಿಯನ್ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳ ಸಾಗಣೆಗಾಗಿ ಹಡಗುಗಳು ರೈಲು,"ಸಿರಿಯಾ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳನ್ನು ಬಾಂಬ್‌ಗಳಲ್ಲಿ ಲೋಡ್ ಮಾಡುತ್ತದೆ, ಅಸ್ಸಾದ್ ಆದೇಶಕ್ಕಾಗಿ ಕಾಯುತ್ತಿದೆ"
ಟೆಕ್ಸಾಸ್ ರಸಗೊಬ್ಬರ ಘಟಕದ ಸ್ಫೋಟದಲ್ಲಿ 14 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ ಎಂದು ಮೇಯರ್ ಹೇಳಿದ್ದಾರೆ,ಟೆಕ್ಸಾಸ್ ರಸಗೊಬ್ಬರ ಸ್ಥಾವರ ಸ್ಫೋಟದಲ್ಲಿ ಬದುಕುಳಿದವರಿಗಾಗಿ ರಕ್ಷಕರು ಹುಡುಕುತ್ತಿದ್ದಾರೆ
"ಇರಾಕ್‌ನಲ್ಲಿ ನಡೆದ ದಾಳಿಯಲ್ಲಿ 2 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ, 11 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ","ಇರಾಕ್‌ನಲ್ಲಿ ನಡೆದ ಹೊಸ ದಾಳಿಯಲ್ಲಿ 15 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ, 90 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ"
ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳನ್ನು ಹಸ್ತಾಂತರಿಸಲು ಸಿರಿಯಾವನ್ನು ಯುಎಸ್ ನಂಬಬಹುದೇ?,ಸಿರಿಯಾ ರಾಸಾಯನಿಕ ಅಸ್ತ್ರಗಳಲ್ಲಿ ಸರಿನ್ ಅನಿಲವನ್ನು ಬಳಸಿರಬಹುದು ಎಂದು ಯುಎಸ್ ಹೇಳಿದೆ
ಮೆಕ್ಸಿಕನ್ ಗಾಯಕ ಜೆನ್ನಿ ರಿವೆರಾ ವಿಮಾನ ಅಪಘಾತದಲ್ಲಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ ಎಂದು ನಂಬಲಾಗಿದೆ,ಮೆಕ್ಸಿಕನ್ ಸಂಗೀತ ತಾರೆ ಜೆನ್ನಿ ರಿವೆರಾ ವಿಮಾನ ಅಪಘಾತದಲ್ಲಿ ನಿಧನರಾದರು
ಬಾಂಗ್ಲಾದೇಶದ ನ್ಯಾಯಾಲಯವು ಯುದ್ಧ ಅಪರಾಧಕ್ಕಾಗಿ ಮೊದಲ ಶಾಸಕನಿಗೆ ಮರಣದಂಡನೆ ವಿಧಿಸಿತು,ಬ್ರಿಟಿಷ್ ಪ್ರಧಾನಿ ಶ್ರೀಲಂಕಾವನ್ನು ಯುದ್ಧಾಪರಾಧಗಳ ಮೇಲೆ ತಳ್ಳುತ್ತಾರೆ
ವಿವಾದಿತ ಚುನಾವಣೆಗಳಲ್ಲಿ ಮುಗಾಬೆ ವಿಜೇತ ಎಂದು ಘೋಷಿಸಿದರು,ವಿವಾದಿತ ಮತದಲ್ಲಿ ಮುಗಾಬೆ ವಿಜಯಿ ಎಂದು ಘೋಷಿಸಿದರು
ಇಂಡೋನೇಷ್ಯಾ ದೋಣಿ ಮುಳುಗಡೆಯಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ 15 ಕ್ಕೆ ಏರಿದೆ,ಇಂಡೋನೇಷ್ಯಾ: ಇಂಡೋನೇಷ್ಯಾ ದೋಣಿ ಮಗುಚಿ ದುರಂತದಲ್ಲಿ ಮೃತಪಟ್ಟವರ ಸಂಖ್ಯೆ 11ಕ್ಕೆ ಏರಿಕೆಯಾಗಿದೆ
ಈಜಿಪ್ಟ್ ನ್ಯಾಯಾಲಯವು ಮುಸ್ಲಿಂ ಬ್ರದರ್‌ಹುಡ್ ಅನ್ನು ನಿಷೇಧಿಸಿದೆ,ಮುಸ್ಲಿಂ ಬ್ರದರ್‌ಹುಡ್ ಚಟುವಟಿಕೆಗಳನ್ನು ನಿಷೇಧಿಸಿದ ಈಜಿಪ್ಟ್ ನ್ಯಾಯಾಲಯ
ಇರಾನ್ ಅಧ್ಯಕ್ಷೀಯ ಮತದಾನದಲ್ಲಿ ರೂಹಾನಿ ಮುನ್ನಡೆ - ಪ್ರಾಥಮಿಕ ಫಲಿತಾಂಶಗಳು,ಆರಂಭಿಕ ಇರಾನ್ ಎಣಿಕೆಯಲ್ಲಿ ರೂಹಾನಿ ಮುನ್ನಡೆ ಸಾಧಿಸಿದ್ದಾರೆ
"ಖೈದಿಗಳ ವಿನಿಮಯದ ಕುರಿತು ಇಸ್ರೇಲಿಗಳು, ಪ್ಯಾಲೆಸ್ಟೀನಿಯಾದವರು ಸಭೆ ನಡೆಸಿದರು",ಅಬ್ದುಲ್ ಪ್ರಕರಣದ ಆಂತರಿಕ ತನಿಖೆಗೆ ಇಸ್ರೇಲಿ ಶಾಸಕರು ಕರೆ ನೀಡಿದರು
ಬೆಲ್‌ಫಾಸ್ಟ್ ಧ್ವಜ ಪ್ರತಿಭಟನೆಯಲ್ಲಿ ಪೊಲೀಸರು ದಾಳಿ ನಡೆಸಿದರು,ಧ್ವಜ ಹಿಂಸಾಚಾರದ ಮಾತುಕತೆಯಲ್ಲಿ ರಾಜಕಾರಣಿಗಳು
ನೈಜೀರಿಯಾ ಪಾಲಿಮರ್ ನೋಟುಗಳನ್ನು ಹಂತ ಹಂತವಾಗಿ ತೆಗೆದುಹಾಕುವ ಯೋಜನೆಯನ್ನು ಪುನರುಚ್ಚರಿಸುತ್ತದೆ,ನೈಜೀರಿಯಾ ಪಾಲಿಮರ್ ನೈರಾ ನೋಟುಗಳನ್ನು ಬದಲಾಯಿಸುವ ಯೋಜನೆಯನ್ನು ಪ್ರಕಟಿಸಿದೆ
ದಕ್ಷಿಣ ಕೊರಿಯಾ ಕೆಸಾಂಗ್ ಕುರಿತು ಉತ್ತರ ಕೊರಿಯಾದ 'ಅಂತಿಮ' ಮಾತುಕತೆಗಳನ್ನು ಪ್ರಸ್ತಾಪಿಸುತ್ತದೆ,ಉತ್ತರ ಕೊರಿಯಾ ಯುಎಸ್ ಜೊತೆ ಉನ್ನತ ಮಟ್ಟದ ಮಾತುಕತೆಗಳನ್ನು ಪ್ರಸ್ತಾಪಿಸಿದೆ
ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಕೈದಿಗಳ ಬಿಡುಗಡೆಯನ್ನು ಅನುಮೋದಿಸಲು ಕ್ಯಾಬಿನೆಟ್ ಅನ್ನು ಯಾಸಿಮೊವಿಚ್ ಒತ್ತಾಯಿಸಿದರು,104 ಪ್ಯಾಲೆಸ್ತೀನ್ ಕೈದಿಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡಲು ಇಸ್ರೇಲ್ ಒಪ್ಪಿಗೆ ನೀಡಿದೆ
"ಬಂದೂಕುಧಾರಿಗಳು 9 ವಿದೇಶಿ ಪ್ರವಾಸಿಗರನ್ನು ಕೊಂದರು, ಒಬ್ಬ ಪಾಕಿಸ್ತಾನಿ",ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 11 ವಿದೇಶಿ ಪ್ರವಾಸಿಗರನ್ನು ಕೊಂದಿದ್ದಾರೆ
ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ನರು ಮತ್ತೊಂದು ವೆಸ್ಟ್ ಬ್ಯಾಂಕ್ ಟೆಂಟ್ ಪ್ರತಿಭಟನೆಯನ್ನು ನಿರ್ಮಿಸುತ್ತಾರೆ,ಪ್ಯಾಲೆಸ್ಟೀನಿಯಾದ ಮೊದಲ ಮತವು ಸಾಂಕೇತಿಕ ಮತ್ತು ಐತಿಹಾಸಿಕವಾಗಿದೆ
ಮೊರ್ಸಿ ಪರ ಪ್ರತಿಭಟನೆಗೆ ಮುನ್ನ ಈಜಿಪ್ಟ್ ಭದ್ರತೆಯನ್ನು ಹೆಚ್ಚಿಸಿದೆ,ಈಜಿಪ್ಟ್ ಬೃಹತ್ ಪ್ರತಿಭಟನೆಗೆ ಮುಂದಾಗಿದೆ
ವಸಾಹತು ಯೋಜನೆಗಳ ಮೇಲೆ ಇಸ್ರೇಲಿ ರಾಯಭಾರಿಗಳನ್ನು ಕರೆಸಲಾಯಿತು,ವಸಾಹತುಗಳ ಕುರಿತು ಬ್ರಿಟನ್ ಇಸ್ರೇಲಿ ರಾಯಭಾರಿಯನ್ನು ಕರೆಸುತ್ತದೆ
NSA ಸೋರಿಕೆದಾರನ ವಿರುದ್ಧ ಬೇಹುಗಾರಿಕೆ ಆರೋಪವನ್ನು ಅಮೆರಿಕ ದಾಖಲಿಸಿದೆ,ಸೋರಿಕೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಸ್ನೋಡೆನ್ ವಿರುದ್ಧ ಅಮೆರಿಕ ಬೇಹುಗಾರಿಕೆ ಆರೋಪವನ್ನು ದಾಖಲಿಸಿದೆ
"ನೆವಾಡಾ ಮಿಡ್ಲ್ ಸ್ಕೂಲ್ ಗುಂಡಿನ ದಾಳಿಯಲ್ಲಿ 2 ಸಾವು, 2 ಮಂದಿ ಗಾಯಗೊಂಡರು","ನೆವಾಡಾ: ಮಿಡ್ಲ್ ಸ್ಕೂಲ್ ಶೂಟಿಂಗ್‌ನಲ್ಲಿ 2 ಸಾವು, 2 ಜನರಿಗೆ ಗಾಯ"
ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡ ಕುಸಿದು ಸಾವಿನ ಸಂಖ್ಯೆ 362ಕ್ಕೆ ತಲುಪಿದೆ,ಬಾಂಗ್ಲಾದೇಶದ ಕಟ್ಟಡ ಕುಸಿತ ಸಾವಿನ ಸಂಖ್ಯೆ 580ಕ್ಕೆ ಏರಿಕೆಯಾಗಿದೆ
ಸ್ಟೇಟ್ ಆಫ್ ಯೂನಿಯನ್‌ನಲ್ಲಿ ಒಬಾಮಾ ಆರ್ಥಿಕತೆಯ ಮೇಲೆ ಕೇಂದ್ರೀಕರಿಸುತ್ತಾರೆ,ಒಬಾಮಾ ಅವರ ಸ್ಟೇಟ್ ಆಫ್ ದಿ ಯೂನಿಯನ್ ಭಾಷಣದಲ್ಲಿ ಏನು ನೋಡಬೇಕು ಎಂಬುದು ಇಲ್ಲಿದೆ
ಚೀನಾದ ಜನರಲ್ ಮಗನಿಗೆ ಅತ್ಯಾಚಾರ ಪ್ರಕರಣದಲ್ಲಿ 10 ವರ್ಷ ಜೈಲು ಶಿಕ್ಷೆ,ಚೀನಾದ ಜನರಲ್‌ನ ಮಗನಿಗೆ ಸಾಮೂಹಿಕ ಅತ್ಯಾಚಾರಕ್ಕಾಗಿ 10 ವರ್ಷಗಳ ಜೈಲು ಶಿಕ್ಷೆ
ಮೊರ್ಸಿ ಬೆಂಬಲಿಗರ ಮೇಲಿನ ಈಜಿಪ್ಟ್ ಶಿಸ್ತುಕ್ರಮಕ್ಕೆ ಇರಾಕ್ ಬೆಂಬಲ,ಮೊಹಮ್ಮದ್ ಮೊರ್ಸಿ ಬೆಂಬಲಿಗರ ಮೇಲೆ ಈಜಿಪ್ಟ್ ಶಿಸ್ತುಕ್ರಮವನ್ನು ಇರಾಕ್ ಬೆಂಬಲಿಸುತ್ತದೆ
NW ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಸಾಧಾರಣ ಭೂಕಂಪನವು,ದಕ್ಷಿಣ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಸಾಧಾರಣ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
ಕೊಸೊವೊ ಅಂಗಾಂಗ ಕಳ್ಳಸಾಗಣೆ ಪ್ರಕರಣದಲ್ಲಿ ಐವರಿಗೆ ಶಿಕ್ಷೆ,ಅಂಗಾಂಗ ಕಳ್ಳಸಾಗಣೆ ಪ್ರಕರಣದಲ್ಲಿ 3 ಮಂದಿಗೆ ಜೈಲು ಶಿಕ್ಷೆ
ಬಾಂಗ್ಲಾ ಪ್ರತಿಭಟನೆಯಲ್ಲಿ 32 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಬಾಂಗ್ಲಾದೇಶದ ಪ್ರತಿಭಟನೆಯಲ್ಲಿ 30 ಮಂದಿ ಬಲಿ
ಫ್ಲೋರಿಡಾ ಅಪಾರ್ಟ್‌ಮೆಂಟ್‌ನಲ್ಲಿ ಗುಂಡಿನ ದಾಳಿ ನಡೆಸಿದ 7 ಮಂದಿಯಲ್ಲಿ ಗನ್‌ಮ್ಯಾನ್ ಮೃತಪಟ್ಟಿದ್ದಾರೆ,ಫ್ಲೋರಿಡಾ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಶೂಟೌಟ್‌ನಲ್ಲಿ ಬಂದೂಕುಧಾರಿ ಸೇರಿದಂತೆ 7 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಪ್ರತಿಭಟನೆಯ ನಡುವೆ ಉಕ್ರೇನ್ ಪ್ರಧಾನಿ ರಾಜೀನಾಮೆ,ಟರ್ಕಿಯ ಪ್ರಧಾನಿ ಪ್ರತಿಭಟನಾಕಾರರ ವಿರುದ್ಧ ಕಠಿಣ ನಿಲುವಿಗೆ ಮರಳುವ ಸೂಚನೆ ನೀಡಿದ್ದಾರೆ
ಇರಾಕ್‌ನಲ್ಲಿ ಬಾಂಬ್ ಸ್ಫೋಟದ ಅಲೆ 15 ಜನರನ್ನು ಕೊಂದಿತು,ಇರಾಕ್‌ನಲ್ಲಿ ಕಾರ್ ಬಾಂಬ್‌ಗಳು ಕನಿಷ್ಠ 49 ಜನರನ್ನು ಕೊಲ್ಲುತ್ತವೆ
ಗೂಗಲ್ ಇಂಟರ್ನೆಟ್-ಬೀಮಿಂಗ್ ಬಲೂನ್‌ಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿದೆ,ಗೂಗಲ್ ಅಂತಾರಾಷ್ಟ್ರೀಯ ತೆರಿಗೆ ಆಟ ಆಡುತ್ತಿದೆ
ಶಸ್ತ್ರಾಸ್ತ್ರಗಳ ಮೇಲೆ ಉದ್ವಿಗ್ನತೆ ಹೆಚ್ಚಾಗುತ್ತಿದ್ದಂತೆ ಇಸ್ರೇಲ್ ಸಿರಿಯಾವನ್ನು ಹೊಡೆದಿದೆ,ಸಿರಿಯಾದ ಡೇರಾದಲ್ಲಿ ವಾಯುದಾಳಿಗಳು ನಾಗರಿಕರಿಗೆ ಗಾಯಗಳಾಗಿವೆ
ಅಮೆರಿಕದ ದತ್ತು ನಿಷೇಧಕ್ಕೆ ರಷ್ಯಾ ಆರಂಭಿಕ ಒಪ್ಪಿಗೆ ನೀಡುತ್ತದೆ,ರಷ್ಯಾ ದತ್ತು ನಿಷೇಧಕ್ಕೆ ಆರಂಭಿಕ ಅನುಮೋದನೆಯನ್ನು ನೀಡುತ್ತದೆ
ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ ವಿಮಾನವು ಒಂದು ನೋಟದಲ್ಲಿ ಅಪಘಾತಕ್ಕೀಡಾಗಿದೆ,"ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ ವಿಮಾನ ಅಪಘಾತದಲ್ಲಿ ಇಬ್ಬರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ, 181 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ"
"ಹೃತಿಕ್ ರೋಷನ್, ಪತ್ನಿ ಸುಸಾನೆ ಬೇರೆಯಾದರು","ವಿಚ್ಛೇದನಕ್ಕೆ ಹೃತಿಕ್ ರೋಷನ್, ಸುಸಾನೆ"
ಕ್ರಿಸ್ಮಸ್ ಕ್ರೂಸ್ ಪ್ರಯಾಣಿಕರು ನೊರೊವೈರಸ್ನಿಂದ ಹೊಡೆದಿದ್ದಾರೆ,ನಾಪತ್ತೆಯಾದ ಕ್ರೂಸ್ ಪ್ರಯಾಣಿಕರೊಬ್ಬ ವ್ಯಕ್ತಿ
"ಆಘಾತಕಾರಿ ಚಲನೆಯಲ್ಲಿ, ಒಬಾಮಾ ಸಿರಿಯಾ ಮುಷ್ಕರವನ್ನು ತಡೆಹಿಡಿಯುತ್ತಾರೆ",ಒಬಾಮಾ ಸಿರಿಯಾ ದಾಳಿಯನ್ನು ತಡೆಹಿಡಿಯುತ್ತಾರೆ
ಸ್ನೋಡೆನ್ ರಷ್ಯಾದಲ್ಲಿ ಉಳಿಯಲು ಕೇಳುತ್ತಾನೆ,ಸ್ನೋಡೆನ್ ರಷ್ಯಾದ ಮೊದಲ ವೀಡಿಯೊವನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿದರು
ವಾಯುವ್ಯ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು ಒಂಬತ್ತು ಜನರನ್ನು ಕೊಂದಿದ್ದಾರೆ,ವಾಯುವ್ಯ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಉಗ್ರರು 6 ಯೋಧರನ್ನು ಹತ್ಯೆ ಮಾಡಿದ್ದಾರೆ
